isolation_source,category_1,category_2,category_3
salt pan,Env Associated,Human activities related,Saltern
water,Env Associated,Nature,Aquatic Environment
river water,Env Associated,Nature,Aquatic Environment
marine sediment,Env Associated,Nature,Aquatic Environment
deep-sea water,Env Associated,Nature,Aquatic Environment
surface water,Env Associated,Nature,Aquatic Environment
deep sediment,Env Associated,Nature,Aquatic Environment
lake water,Env Associated,Nature,Aquatic Environment
kochujang,Env Associated,Nature,Aquatic Environment
heated water in contact with grass/sediment layer,Env Associated,Nature,Aquatic Environment
brackish water,Env Associated,Nature,Aquatic Environment
oceanic epipelagic zone,Env Associated,Nature,Aquatic Environment
marine environment,Env Associated,Nature,Aquatic Environment
sea water,Env Associated,Nature,Aquatic Environment
manawatu river,Env Associated,Nature,Aquatic Environment
environmental waters,Env Associated,Nature,Aquatic Environment
deep-sea sediments,Env Associated,Nature,Aquatic Environment
coastal water,Env Associated,Nature,Aquatic Environment
marine sand from beihai,Env Associated,Nature,Aquatic Environment
imperial geyser; near vegetative/sediment and waters edge,Env Associated,Nature,Aquatic Environment
river velez,Env Associated,Nature,Aquatic Environment
river mouth,Env Associated,Nature,Aquatic Environment
marine,Env Associated,Nature,Aquatic Environment
sediment sample from the liaodong bay of the bohai sea,Env Associated,Nature,Aquatic Environment
oceanic bottom sediments,Env Associated,Nature,Aquatic Environment
beach water,Env Associated,Nature,Aquatic Environment
jin river water w5,Env Associated,Nature,Aquatic Environment
creek,Env Associated,Nature,Aquatic Environment
creek sediment,Env Associated,Nature,Aquatic Environment
creek water,Env Associated,Nature,Aquatic Environment
river,Env Associated,Nature,Aquatic Environment
costal sediment,Env Associated,Nature,Aquatic Environment
marine water body [envo:00001999],Env Associated,Nature,Aquatic Environment
deep sea sediment,Env Associated,Nature,Aquatic Environment
filtered seawater (64um filter),Env Associated,Nature,Aquatic Environment
mediterranean sea,Env Associated,Nature,Aquatic Environment
seawater,Env Associated,Nature,Aquatic Environment
river water (estuarine),Env Associated,Nature,Aquatic Environment
shallow water,Env Associated,Nature,Aquatic Environment
water column,Env Associated,Nature,Aquatic Environment
hypersaline river water,Env Associated,Nature,Aquatic Environment
marine intertidal sediment,Env Associated,Nature,Aquatic Environment
seawater on vibrio selective media,Env Associated,Nature,Aquatic Environment
filtered seawater (1um filter),Env Associated,Nature,Aquatic Environment
seawater layers,Env Associated,Nature,Aquatic Environment
stream water,Env Associated,Nature,Aquatic Environment
u.s. pacific ocean coast,Env Associated,Nature,Aquatic Environment
ocean,Env Associated,Nature,Aquatic Environment
continental water,Env Associated,Nature,Aquatic Environment
filtered seawater (5um filter),Env Associated,Nature,Aquatic Environment
untreated water,Env Associated,Nature,Aquatic Environment
marine surface water,Env Associated,Nature,Aquatic Environment
surface water (environmental),Env Associated,Nature,Aquatic Environment
estuarine sediment,Env Associated,Nature,Aquatic Environment
sea,Env Associated,Nature,Aquatic Environment
environment gulf coast,Env Associated,Nature,Aquatic Environment
bay of bengal,Env Associated,Nature,Aquatic Environment
atlantic coast,Env Associated,Nature,Aquatic Environment
cold seep sediment,Env Associated,Nature,Aquatic Environment
open ocean water,Env Associated,Nature,Aquatic Environment
marine isolate,Env Associated,Nature,Aquatic Environment
marsh seawater,Env Associated,Nature,Aquatic Environment
aquatic,Env Associated,Nature,Aquatic Environment
atlantic ocean,Env Associated,Nature,Aquatic Environment
coastal seawaters,Env Associated,Nature,Aquatic Environment
filtered seawater (<1um filter),Env Associated,Nature,Aquatic Environment
tidal mudflat,Env Associated,Nature,Aquatic Environment
water from the south atlantic bight,Env Associated,Nature,Aquatic Environment
shore seawater,Env Associated,Nature,Aquatic Environment
water sample,Env Associated,Nature,Aquatic Environment
pond water,Env Associated,Nature,Aquatic Environment
surface seawater,Env Associated,Nature,Aquatic Environment
marine water,Env Associated,Nature,Aquatic Environment
filtered seawater (64 um filter),Env Associated,Nature,Aquatic Environment
spring water,Env Associated,Nature,Aquatic Environment
river sediment,Env Associated,Nature,Aquatic Environment
sea water separation,Env Associated,Nature,Aquatic Environment
low salinity river system,Env Associated,Nature,Aquatic Environment
fresh water,Env Associated,Nature,Aquatic Environment
shoreline saltwater,Env Associated,Nature,Aquatic Environment
sea cave,Env Associated,Nature,Aquatic Environment
open ocean water sample collected over the continental slope off the west coast of africa between the cape verde and canary islands,Env Associated,Nature,Aquatic Environment
sea of azov,Env Associated,Nature,Aquatic Environment
coastal seawater,Env Associated,Nature,Aquatic Environment
kiel fjord,Env Associated,Nature,Aquatic Environment
north park lake,Env Associated,Nature,Aquatic Environment
"filtered seawater (small, 1 micrometer filter; predicted habitat is large-particle associated)",Env Associated,Nature,Aquatic Environment
"filtered seawater (small, 1 micrometer filter)",Env Associated,Nature,Aquatic Environment
"filtered seawater, 1-5 micron fraction",Env Associated,Nature,Aquatic Environment
"filtered seawater, 0.2 micron fraction",Env Associated,Nature,Aquatic Environment
"filtered seawater, >63 micron fraction",Env Associated,Nature,Aquatic Environment
"filtered seawater, 0.2-1 micron fraction",Env Associated,Nature,Aquatic Environment
"filtered seawater (not particle associated, <1 micrometer filter; predicted habitat is large-particle associated)",Env Associated,Nature,Aquatic Environment
"filtered seawater (large, >=63 micrometer filter)",Env Associated,Nature,Aquatic Environment
"filtered seawater, 5-63 micron fraction",Env Associated,Nature,Aquatic Environment
"filtered seawater (not particle associated, <1 micrometer filter; predicted habitat is small-particle associated)",Env Associated,Nature,Aquatic Environment
seawater from the upper reaches of an estuary,Env Associated,Nature,Aquatic Environment
estuarine water,Env Associated,Nature,Aquatic Environment
estuarine bay,Env Associated,Nature,Aquatic Environment
estuary,Env Associated,Nature,Aquatic Environment
"water, environmental",Env Associated,Nature,Aquatic Environment
namibian saline spring,Env Associated,Nature,Aquatic Environment
pivert river,Env Associated,Nature,Aquatic Environment
"little campbell river, british columbia, canada",Env Associated,Nature,Aquatic Environment
marine net tow,Env Associated,Nature,Aquatic Environment
seawater enriched with glycerol and nitrate,Env Associated,Nature,Aquatic Environment
environment,Env Associated,Nature,Others
mont soleil,Env Associated,Nature,Others
environmental,Env Associated,Nature,Others
sediment,Env Associated,Nature,Others
air,Env Associated,Nature,Others
karstic limestone,Env Associated,Nature,Others
deep subsurface,Env Associated,Nature,Others
river bank slime,Env Associated,Nature,Others
soil,Env Associated,Nature,Soil
pit mud,Env Associated,Nature,Soil
temperate decuduous forest biome soil,Env Associated,Nature,Soil
forest soil,Env Associated,Nature,Soil
root and surrounding soil,Env Associated,Nature,Soil
soil near root of coffee,Env Associated,Nature,Soil
rhizosphere soil of healthy poplars,Env Associated,Nature,Soil
top soil and leaf litter,Env Associated,Nature,Soil
soil from yingcheng salt mine,Env Associated,Nature,Soil
mud sample,Env Associated,Nature,Soil
mangrove soil,Env Associated,Nature,Soil
brazillian cerrado forest soil,Env Associated,Nature,Soil
rhizosphere soil,Env Associated,Nature,Soil
dry sand,Env Associated,Nature,Soil
sand flats,Env Associated,Nature,Soil
salt marsh mud,Env Associated,Nature,Soil
cheese,Food Associated,Dairy,Cheese
gruyere,Food Associated,Dairy,Cheese
tete de moine,Food Associated,Dairy,Cheese
bryndza cheese,Food Associated,Dairy,Cheese
emmental,Food Associated,Dairy,Cheese
taleggio cheese,Food Associated,Dairy,Cheese
montengrin brine cheese,Food Associated,Dairy,Cheese
motal cheese,Food Associated,Dairy,Cheese
traditionally produced smoked fresh cheese,Food Associated,Dairy,Cheese
tilsit,Food Associated,Dairy,Cheese
blown cheese,Food Associated,Dairy,Cheese
mountain cheese,Food Associated,Dairy,Cheese
goat cheese,Food Associated,Dairy,Cheese
swiss alpine cheese,Food Associated,Dairy,Cheese
fresh smoked cheese,Food Associated,Dairy,Cheese
goat milk cheese,Food Associated,Dairy,Cheese
greek kasseri cheese,Food Associated,Dairy,Cheese
mesophilic cheese starter cultures,Food Associated,Dairy,Cheese
10 weeks old 45+ samso cheese,Food Associated,Dairy,Cheese
cheese curd,Food Associated,Dairy,Cheese
kopanisti cheese,Food Associated,Dairy,Cheese
egyptian white domiati cheese,Food Associated,Dairy,Cheese
cheddar cheese,Food Associated,Dairy,Cheese
chesse,Food Associated,Dairy,Cheese
semi-hard cheese,Food Associated,Dairy,Cheese
cheese starter,Food Associated,Dairy,Cheese
unpasteurized camembert cheese,Food Associated,Dairy,Cheese
homemade cheese,Food Associated,Dairy,Cheese
traditional greek kasseri cheese,Food Associated,Dairy,Cheese
argentinian hard cheese,Food Associated,Dairy,Cheese
emmental cheese,Food Associated,Dairy,Cheese
tilsit cheese,Food Associated,Dairy,Cheese
traditional cheese,Food Associated,Dairy,Cheese
new zealand cheese,Food Associated,Dairy,Cheese
raw cheese with rennet,Food Associated,Dairy,Cheese
klila (mild-ripened cheese),Food Associated,Dairy,Cheese
bouhezza (fresh cheese),Food Associated,Dairy,Cheese
ovine cheese,Food Associated,Dairy,Cheese
raw milk cheese,Food Associated,Dairy,Cheese
queso fresco,Food Associated,Dairy,Cheese
tibet kefir,Food Associated,Dairy,Kefir
kefir,Food Associated,Dairy,Kefir
water kefir,Food Associated,Dairy,Kefir
kefir grains,Food Associated,Dairy,Kefir
tibetan kefir,Food Associated,Dairy,Kefir
korean kefir,Food Associated,Dairy,Kefir
kefir grain,Food Associated,Dairy,Kefir
milk,Food Associated,Dairy,Milk
raw cow milk,Food Associated,Dairy,Milk
raw milk,Food Associated,Dairy,Milk
sheep milk,Food Associated,Dairy,Milk
yak milk,Food Associated,Dairy,Milk
dromedary milk,Food Associated,Dairy,Milk
fresh ewes milk,Food Associated,Dairy,Milk
milk sample,Food Associated,Dairy,Milk
dairy,Food Associated,Dairy,Other dairy
dairy product,Food Associated,Dairy,Other dairy
milk product,Food Associated,Dairy,Other dairy
curd,Food Associated,Dairy,Other dairy
traditional dairy products,Food Associated,Dairy,Other dairy
whey,Food Associated,Dairy,Other dairy
"naturally processed, home-made dairy foods from ecologically clean preserves, industrial pollution-free and chemically-untampered areas",Food Associated,Dairy,Other dairy
traditional homemade dairy product,Food Associated,Dairy,Other dairy
artisanal dairy product,Food Associated,Dairy,Other dairy
commercial dairy product,Food Associated,Dairy,Other dairy
milk fan,Food Associated,Dairy,Other dairy
tibetan traditional dairy products,Food Associated,Dairy,Other dairy
cream products,Food Associated,Dairy,Other dairy
milk products,Food Associated,Dairy,Other dairy
traditional dairy product,Food Associated,Dairy,Other dairy
milk tofu,Food Associated,Dairy,Other dairy
dairy products,Food Associated,Dairy,Other dairy
concentrated milk,Food Associated,Dairy,Other dairy
buttermilk powder,Food Associated,Dairy,Other dairy
milk powder,Food Associated,Dairy,Other dairy
ice cream,Food Associated,Dairy,Other dairy
fermented milk,Food Associated,Dairy,Other fermented milk
fermented dairy product,Food Associated,Dairy,Other fermented milk
fermented dairy,Food Associated,Dairy,Other fermented milk
dairy starter,Food Associated,Dairy,Other fermented milk
natural fermented milk,Food Associated,Dairy,Other fermented milk
separation from traditional fermented cream,Food Associated,Dairy,Other fermented milk
traditional fermented milk,Food Associated,Dairy,Other fermented milk
commercial fermented milk product (yakult),Food Associated,Dairy,Other fermented milk
fermented milk drink,Food Associated,Dairy,Other fermented milk
koumiss (fermented mare's milk),Food Associated,Dairy,Other fermented milk
homemade koumiss,Food Associated,Dairy,Other fermented milk
koumiss,Food Associated,Dairy,Other fermented milk
traditional fermented dairy products in inner mongolia,Food Associated,Dairy,Other fermented milk
"fermented milk product ""chaka""",Food Associated,Dairy,Other fermented milk
acidophilus milk,Food Associated,Dairy,Other fermented milk
sweet acidophilus milk,Food Associated,Dairy,Other fermented milk
acid yak milk,Food Associated,Dairy,Other fermented milk
bulgarian homemade fermented milk,Food Associated,Dairy,Other fermented milk
fermented camel milk,Food Associated,Dairy,Other fermented milk
traditional dairy fermented product (dahi type),Food Associated,Dairy,Other fermented milk
sour milk,Food Associated,Dairy,Other fermented milk
dahi,Food Associated,Dairy,Other fermented milk
homemade dahi,Food Associated,Dairy,Other fermented milk
yak fermented milk,Food Associated,Dairy,Other fermented milk
fermented dairy sample,Food Associated,Dairy,Other fermented milk
fermented goat milk,Food Associated,Dairy,Other fermented milk
rayeb (fermented milk),Food Associated,Dairy,Other fermented milk
yogurt,Food Associated,Dairy,Yogurt like
yogurt-like dairy product,Food Associated,Dairy,Yogurt like
yogurts,Food Associated,Dairy,Yogurt like
sichuan red original yak yogurt,Food Associated,Dairy,Yogurt like
commercial yoghurt,Food Associated,Dairy,Yogurt like
yogurt fermentation,Food Associated,Dairy,Yogurt like
home-made bulgarian yoghurt prepared without industrial starter cultures,Food Associated,Dairy,Yogurt like
traditional greek yogurt,Food Associated,Dairy,Yogurt like
fermented sausage,Food Associated,Meat & fish based,Fermented meat & fish based food
fermented fish,Food Associated,Meat & fish based,Fermented meat & fish based food
fermented meat sausages(food),Food Associated,Meat & fish based,Fermented meat & fish based food
fermented sausages,Food Associated,Meat & fish based,Fermented meat & fish based food
fermented meat,Food Associated,Meat & fish based,Fermented meat & fish based food
vietnamese fermented sausage (nem chua),Food Associated,Meat & fish based,Fermented meat & fish based food
superior fermented meat,Food Associated,Meat & fish based,Fermented meat & fish based food
"sausage (dried, fermented)",Food Associated,Meat & fish based,Fermented meat & fish based food
nham; fermented pork,Food Associated,Meat & fish based,Fermented meat & fish based food
som fak (thai fermented fish),Food Associated,Meat & fish based,Fermented meat & fish based food
fermented meat product,Food Associated,Meat & fish based,Fermented meat & fish based food
"plaa-som, thai fermented fish product",Food Associated,Meat & fish based,Fermented meat & fish based food
fermented fish ngari,Food Associated,Meat & fish based,Fermented meat & fish based food
fermented pork sausage (sai-krog-prieo),Food Associated,Meat & fish based,Fermented meat & fish based food
fermented fish (pla-som),Food Associated,Meat & fish based,Fermented meat & fish based food
fermented pork (nham),Food Associated,Meat & fish based,Fermented meat & fish based food
fermented salami,Food Associated,Meat & fish based,Fermented meat & fish based food
"fermented sausage, norway",Food Associated,Meat & fish based,Fermented meat & fish based food
fermented pork,Food Associated,Meat & fish based,Fermented meat & fish based food
fermented raw meat,Food Associated,Meat & fish based,Fermented meat & fish based food
nem chua (fermented pork),Food Associated,Meat & fish based,Fermented meat & fish based food
argentinean dry fermented sausages,Food Associated,Meat & fish based,Fermented meat & fish based food
sliced vaccum-packed cold-smoked salmon,Food Associated,Meat & fish based,Seafood
marinated fish product,Food Associated,Meat & fish based,Seafood
acetic acid preserved herring with carrots,Food Associated,Meat & fish based,Seafood
marinated rainbow trout,Food Associated,Meat & fish based,Seafood
imported/domestic retail oyster,Food Associated,Meat & fish based,Seafood
imported/domestic retail mollusks (unspecified),Food Associated,Meat & fish based,Seafood
shell fish,Food Associated,Meat & fish based,Seafood
frozen shrimp,Food Associated,Meat & fish based,Seafood
oysters obtained from mexico city seafood market (la viga),Food Associated,Meat & fish based,Seafood
seafood (crab),Food Associated,Meat & fish based,Seafood
salmon sashimi,Food Associated,Meat & fish based,Seafood
seafood (oyster),Food Associated,Meat & fish based,Seafood
imported shrimp,Food Associated,Meat & fish based,Seafood
seafood (corb shell),Food Associated,Meat & fish based,Seafood
crab marinated in soy sauce,Food Associated,Meat & fish based,Seafood
imported seafood from ecuador,Food Associated,Meat & fish based,Seafood
sea-food,Food Associated,Meat & fish based,Seafood
imported seafood from thailand,Food Associated,Meat & fish based,Seafood
shrimp (food),Food Associated,Meat & fish based,Seafood
imported/domestic retail clams,Food Associated,Meat & fish based,Seafood
imported seafood from vietnam,Food Associated,Meat & fish based,Seafood
seafood,Food Associated,Meat & fish based,Seafood
spoiled horse mackerel causing food poisoning,Food Associated,Meat & fish based,Seafood
imported/domestic retail mussels,Food Associated,Meat & fish based,Seafood
"fresh seafood sold at markets and supermarkets located in bangkok, thailand",Food Associated,Meat & fish based,Seafood
litopenaeus vannamei purchased at the supermarket,Food Associated,Meat & fish based,Seafood
cooked ham,Food Associated,Meat & fish based,Others meat & fish based food
roast duck,Food Associated,Meat & fish based,Others meat & fish based food
hunan smoked pork,Food Associated,Meat & fish based,Others meat & fish based food
cured beef,Food Associated,Meat & fish based,Others meat & fish based food
marinated beef,Food Associated,Meat & fish based,Others meat & fish based food
vacuum-packaged beef,Food Associated,Meat & fish based,Others meat & fish based food
marinated pork,Food Associated,Meat & fish based,Others meat & fish based food
ripening beef,Food Associated,Meat & fish based,Others meat & fish based food
beef from cattle peranakan ongole,Food Associated,Meat & fish based,Others meat & fish based food
low-temperature meat products,Food Associated,Meat & fish based,Others meat & fish based food
bulgogi,Food Associated,Meat & fish based,Others meat & fish based food
stewed chicken,Food Associated,Meat & fish based,Others meat & fish based food
plain boiled chicken,Food Associated,Meat & fish based,Others meat & fish based food
stewed meat,Food Associated,Meat & fish based,Others meat & fish based food
sausage,Food Associated,Meat & fish based,Sausage
pork pickled sausage,Food Associated,Meat & fish based,Sausage
french dry-type pork sausage,Food Associated,Meat & fish based,Sausage
raw sausage,Food Associated,Meat & fish based,Sausage
blood sausage,Food Associated,Meat & fish based,Sausage
traditional thai fermented pork sausage,Food Associated,Meat & fish based,Sausage
dry naturally fermented greek sausage,Food Associated,Meat & fish based,Sausage
"jogaejeotgal, a traditional korean fermented seafood",Food Associated,Meat & fish based,Sausage
salami,Food Associated,Meat & fish based,Sausage
raw fermented sausage,Food Associated,Meat & fish based,Sausage
fermented sausage salsiz,Food Associated,Meat & fish based,Sausage
artisanal dry-fermented salami,Food Associated,Meat & fish based,Sausage
fermented meat sausage,Food Associated,Meat & fish based,Sausage
poultry salami,Food Associated,Meat & fish based,Sausage
"pork,pickled sausage",Food Associated,Meat & fish based,Sausage
hot-dog,Food Associated,Meat & fish based,Sausage
fermented food,Food Associated,Others,Fermented Food
traditional fermented food in korea,Food Associated,Others,Fermented Food
fermented goods,Food Associated,Others,Fermented Food
dried ossban,Food Associated,Others,Fermented Food
mayonnaise,Food Associated,Others,Fermented Food
lobster sauces,Food Associated,Others,Fermented Food
food,Food Associated,Others,Others
commercial dietary supplements,Food Associated,Others,Others
boiled eggs,Food Associated,Others,Others
fructose,Food Associated,Others,Others
curry cream soup,Food Associated,Others,Others
curry soup,Food Associated,Others,Others
vitamin b2 feed additive,Food Associated,Others,Others
retail food,Food Associated,Others,Others
cold noodle,Food Associated,Others,Others
mead,Food Associated,Plant based,Alcohol Related
red wine,Food Associated,Plant based,Alcohol Related
wine,Food Associated,Plant based,Alcohol Related
makgeolli (korean traditional alcoholic beverage),Food Associated,Plant based,Alcohol Related
nero di troia red wine (vintage 2007) undergoing spontaneous mlf and collected from three different vinifications performed in the same winery,Food Associated,Plant based,Alcohol Related
spoiled beer,Food Associated,Plant based,Alcohol Related
cider,Food Associated,Plant based,Alcohol Related
beer,Food Associated,Plant based,Alcohol Related
sorghum beer fermentation,Food Associated,Plant based,Alcohol Related
acidified beer wort,Food Associated,Plant based,Alcohol Related
partially fermented wine,Food Associated,Plant based,Alcohol Related
bottled beer,Food Associated,Plant based,Alcohol Related
pilsner beer,Food Associated,Plant based,Alcohol Related
white wine,Food Associated,Plant based,Alcohol Related
apple juice in fermentation (cider),Food Associated,Plant based,Alcohol Related
sake mash,Food Associated,Plant based,Alcohol Related
natural cider of the basque country,Food Associated,Plant based,Alcohol Related
"fermented beverages, wine",Food Associated,Plant based,Alcohol Related
raw rice wine,Food Associated,Plant based,Alcohol Related
moto starter of sake,Food Associated,Plant based,Alcohol Related
makgeollli,Food Associated,Plant based,Alcohol Related
bobal wine,Food Associated,Plant based,Alcohol Related
light wheat beer,Food Associated,Plant based,Alcohol Related
highland barley wine,Food Associated,Plant based,Alcohol Related
aglianico wines from vulture zone,Food Associated,Plant based,Alcohol Related
wheat beer,Food Associated,Plant based,Alcohol Related
champagne,Food Associated,Plant based,Alcohol Related
fermented pulque,Food Associated,Plant based,Alcohol Related
sparkling white wine,Food Associated,Plant based,Alcohol Related
patagonian red wine,Food Associated,Plant based,Alcohol Related
chardonnay wine,Food Associated,Plant based,Alcohol Related
beer contaminant,Food Associated,Plant based,Alcohol Related
pinot noir wine,Food Associated,Plant based,Alcohol Related
palm wine,Food Associated,Plant based,Alcohol Related
rice wine rice syrup,Food Associated,Plant based,Alcohol Related
commercial grape wine undergoing a sluggish/stuck alcoholic fermentation,Food Associated,Plant based,Alcohol Related
spoiled wine fermentation,Food Associated,Plant based,Alcohol Related
a bobal wine,Food Associated,Plant based,Alcohol Related
patagonian merlot wine,Food Associated,Plant based,Alcohol Related
"uncooked sour wort of dolo, traditional sorghum malt beer",Food Associated,Plant based,Alcohol Related
chinese red wine,Food Associated,Plant based,Alcohol Related
korean traditional alcoholic beverage,Food Associated,Plant based,Alcohol Related
fermented rice,Food Associated,Plant based,Alcohol Related
apple cider,Food Associated,Plant based,Alcohol Related
shochu mash,Food Associated,Plant based,Alcohol Related
the brine of stinky tofu,Food Associated,Plant based,Brine fermented food
kimchi,Food Associated,Plant based,Brine fermented food
cucumber fermentation brine,Food Associated,Plant based,Brine fermented food
pickle,Food Associated,Plant based,Brine fermented food
pickled radish,Food Associated,Plant based,Brine fermented food
chinese pickles (in soy sauce),Food Associated,Plant based,Brine fermented food
chinese sauerkraut,Food Associated,Plant based,Brine fermented food
sour bamboo shoot,Food Associated,Plant based,Brine fermented food
brines of olives,Food Associated,Plant based,Brine fermented food
young radish kimchi,Food Associated,Plant based,Brine fermented food
chinese cabbage kimchi,Food Associated,Plant based,Brine fermented food
baechu-kimchi,Food Associated,Plant based,Brine fermented food
mukeunji,Food Associated,Plant based,Brine fermented food
chinese traditional fermented vegetable suan cai,Food Associated,Plant based,Brine fermented food
radish kimchi,Food Associated,Plant based,Brine fermented food
"kimchi, korean traditional fermented food",Food Associated,Plant based,Brine fermented food
"kimchi, fermented-vegetable foods produced in korea",Food Associated,Plant based,Brine fermented food
korean fermentation food kimchi,Food Associated,Plant based,Brine fermented food
korean kimchi,Food Associated,Plant based,Brine fermented food
radish and carrot pickled with rice bran and salt,Food Associated,Plant based,Brine fermented food
chinese pickle,Food Associated,Plant based,Brine fermented food
doenjang,Food Associated,Plant based,Brine fermented food
partially fermented kimchi,Food Associated,Plant based,Brine fermented food
no-five-pungent-herbs kimchi,Food Associated,Plant based,Brine fermented food
traditional korean kimchi,Food Associated,Plant based,Brine fermented food
pickles,Food Associated,Plant based,Brine fermented food
mustard pickles,Food Associated,Plant based,Brine fermented food
olive brine,Food Associated,Plant based,Brine fermented food
pickled cucumber,Food Associated,Plant based,Brine fermented food
paocai water,Food Associated,Plant based,Brine fermented food
chinese fermented food-pickles,Food Associated,Plant based,Brine fermented food
kimchi (korean traditional fermented food),Food Associated,Plant based,Brine fermented food
napa cabbage kimchi,Food Associated,Plant based,Brine fermented food
white kimchi (baek kimchi),Food Associated,Plant based,Brine fermented food
pickled green chili peppers,Food Associated,Plant based,Brine fermented food
brine of stinky tofu,Food Associated,Plant based,Brine fermented food
kimchi (traditional fermented korean dish),Food Associated,Plant based,Brine fermented food
fermented kimchi,Food Associated,Plant based,Brine fermented food
sichuan pickle vegetables,Food Associated,Plant based,Brine fermented food
water kimchi,Food Associated,Plant based,Brine fermented food
fermented vegetable (kimchi),Food Associated,Plant based,Brine fermented food
japanese pickles,Food Associated,Plant based,Brine fermented food
"kimchi, a type of traditional korean fermented food",Food Associated,Plant based,Brine fermented food
traditional pickle,Food Associated,Plant based,Brine fermented food
scallion kimchi,Food Associated,Plant based,Brine fermented food
korean traditional kimchi,Food Associated,Plant based,Brine fermented food
diced radish kimchi,Food Associated,Plant based,Brine fermented food
cabbage kimchi,Food Associated,Plant based,Brine fermented food
kimchi without red pepper powder,Food Associated,Plant based,Brine fermented food
watery kimchi (cabbage),Food Associated,Plant based,Brine fermented food
radish pickled,Food Associated,Plant based,Brine fermented food
sichuan paocai,Food Associated,Plant based,Brine fermented food
cucumber kimchi,Food Associated,Plant based,Brine fermented food
pepper jangajji,Food Associated,Plant based,Brine fermented food
brine from olive fermentation; commercial processor,Food Associated,Plant based,Brine fermented food
paocai,Food Associated,Plant based,Brine fermented food
brine from table olives after 11 days of fermentation,Food Associated,Plant based,Brine fermented food
brine from table olives after 10 days of fermentation,Food Associated,Plant based,Brine fermented food
turnip pickled,Food Associated,Plant based,Brine fermented food
sauerkraut,Food Associated,Plant based,Brine fermented food
fermented vegetables,Food Associated,Plant based,Brine fermented food
fermented brine used for stinky tofu production,Food Associated,Plant based,Brine fermented food
senmaizuke,Food Associated,Plant based,Brine fermented food
pickled cabbage,Food Associated,Plant based,Brine fermented food
soybean paste,Food Associated,Plant based,Brine fermented food
isolated from fermented brine used for stinky tofu production,Food Associated,Plant based,Brine fermented food
honey from beehive,Food Associated,Plant based,Honey Related
heterotrigona itama honey,Food Associated,Plant based,Honey Related
honey,Food Associated,Plant based,Honey Related
nectar,Food Associated,Plant based,Honey Related
bee bread from apis cerana,Food Associated,Plant based,Other fermented food
kinema,Food Associated,Plant based,Other fermented food
cacao been fermentation,Food Associated,Plant based,Other fermented food
soybean paste (chonggugjang),Food Associated,Plant based,Other fermented food
fermented cabbage,Food Associated,Plant based,Other fermented food
zha-chili (fermented food made of chili and corn flour or rice flour),Food Associated,Plant based,Other fermented food
non-salted pickle solution used in production of sunki (japanese traditional fermented leaves and stems of red turnips),Food Associated,Plant based,Other fermented food
reduced nacl fermented cucumber spoilage,Food Associated,Plant based,Other fermented food
chili bowl,Food Associated,Plant based,Other fermented food
gochujang,Food Associated,Plant based,Other fermented food
cocoa bean fermentation,Food Associated,Plant based,Other fermented food
anaerobic fermented cucumber slurry spoilage,Food Associated,Plant based,Other fermented food
mahewu,Food Associated,Plant based,Other fermented food
tapai,Food Associated,Plant based,Other fermented food
"chicha, maize-based fermented beverage",Food Associated,Plant based,Other fermented food
ethiopian kocho,Food Associated,Plant based,Other fermented food
fermented soybean,Food Associated,Plant based,Other fermented food
fermented tea leaves (miang),Food Associated,Plant based,Other fermented food
zha-chili,Food Associated,Plant based,Other fermented food
fermented mustard products,Food Associated,Plant based,Other fermented food
"nuruk, korean traditional beverage starter",Food Associated,Plant based,Other fermented food
fermented vegetable,Food Associated,Plant based,Other fermented food
traditional fermented cereal,Food Associated,Plant based,Other fermented food
fermented soybeans,Food Associated,Plant based,Other fermented food
cucumber fermantation,Food Associated,Plant based,Other fermented food
corn fermented beverage,Food Associated,Plant based,Other fermented food
tempeh,Food Associated,Plant based,Other fermented food
coffee fermentation,Food Associated,Plant based,Other fermented food
doenjang(soybean paste),Food Associated,Plant based,Other fermented food
spontaneous cocoa bean fermentations,Food Associated,Plant based,Other fermented food
fermented turnib (shalgam),Food Associated,Plant based,Other fermented food
fermenting olives,Food Associated,Plant based,Other fermented food
fermented cane molasses at alcohol plants,Food Associated,Plant based,Other fermented food
mahweu,Food Associated,Plant based,Other fermented food
fermented cassava roots (fufu),Food Associated,Plant based,Other fermented food
fermented radish,Food Associated,Plant based,Other fermented food
spontaneous fermented carrot juice,Food Associated,Plant based,Other fermented food
olive fermentation,Food Associated,Plant based,Other fermented food
fermented alorena table olives,Food Associated,Plant based,Other fermented food
gari (fermented cassava),Food Associated,Plant based,Other fermented food
fermented onions,Food Associated,Plant based,Other fermented food
fermented okpei-onitsha,Food Associated,Plant based,Other fermented food
fermented okpei-nsukka,Food Associated,Plant based,Other fermented food
fermented chinese cabbage,Food Associated,Plant based,Other fermented food
"fu-tsai (fermented vegetable, food)",Food Associated,Plant based,Other fermented food
"meju, fermented soybean paste",Food Associated,Plant based,Other fermented food
traditional chinese fermented soybeans,Food Associated,Plant based,Other fermented food
stinky xiancaigeng,Food Associated,Plant based,Other fermented food
fermented lentils,Food Associated,Plant based,Other fermented food
fermented soybean meal,Food Associated,Plant based,Other fermented food
cassava sour starch fermentation,Food Associated,Plant based,Other fermented food
non-alcoholic fermented bamboo shoot products,Food Associated,Plant based,Other fermented food
fermented tea leaves,Food Associated,Plant based,Other fermented food
eup (fermented bamboo shoot),Food Associated,Plant based,Other fermented food
