isolation_source,category_1,category_2,category_3
"gastric biopsies, stomach mucosa",Animal Associated,GI Tract Related,Human GI tract
mucosal surface ascending colon,Animal Associated,GI Tract Related,Human GI tract
stomach,Animal Associated,GI Tract Related,Human GI tract
oral cavity,Animal Associated,GI Tract Related,Human GI tract
cecum,Animal Associated,GI Tract Related,Human GI tract
endoscopy,Animal Associated,GI Tract Related,Human GI tract
fetal intestine,Animal Associated,GI Tract Related,Human GI tract
oral swab,Animal Associated,GI Tract Related,Human GI tract
c1 compartment fluid of stomach,Animal Associated,GI Tract Related,Human GI tract
mucosal surface transverse colon,Animal Associated,GI Tract Related,Human GI tract
lumen ileum,Animal Associated,GI Tract Related,Human GI tract
cyst gastrointestinal,Animal Associated,GI Tract Related,Human GI tract
stomach contents,Animal Associated,GI Tract Related,Human GI tract
gut mucosa,Animal Associated,GI Tract Related,Human GI tract
c1 compartment of stomach,Animal Associated,GI Tract Related,Human GI tract
intestine of adult,Animal Associated,GI Tract Related,Human GI tract
duodenum,Animal Associated,GI Tract Related,Human GI tract
healthy adult male gut,Animal Associated,GI Tract Related,Human GI tract
female gut,Animal Associated,GI Tract Related,Human GI tract
dental plaque,Animal Associated,GI Tract Related,Human GI tract
intestinal content,Animal Associated,GI Tract Related,Human GI tract
mucosal surface ileum,Animal Associated,GI Tract Related,Human GI tract
intestines,Animal Associated,GI Tract Related,Human GI tract
lumen transverse colon,Animal Associated,GI Tract Related,Human GI tract
healthy intestine,Animal Associated,GI Tract Related,Human GI tract
human gi tract,Animal Associated,GI Tract Related,Human GI tract
mucosal surface descending colon,Animal Associated,GI Tract Related,Human GI tract
intestinal tract,Animal Associated,GI Tract Related,Human GI tract
oral,Animal Associated,GI Tract Related,Human GI tract
gut (crop),Animal Associated,GI Tract Related,Human GI tract
gut (gi tract),Animal Associated,GI Tract Related,Human GI tract
human intestine,Animal Associated,GI Tract Related,Human GI tract
human endoscopy,Animal Associated,GI Tract Related,Human GI tract
intestine from healthy child,Animal Associated,GI Tract Related,Human GI tract
gut biopsy,Animal Associated,GI Tract Related,Human GI tract
gi tract,Animal Associated,GI Tract Related,Human GI tract
intestine of an adult,Animal Associated,GI Tract Related,Human GI tract
adult midgut,Animal Associated,GI Tract Related,Human GI tract
intestine of a healthy child,Animal Associated,GI Tract Related,Human GI tract
throat swab,Animal Associated,GI Tract Related,Human GI tract
rectal swab from healthy college student,Animal Associated,GI Tract Related,Human GI tract
rectal swab,Animal Associated,GI Tract Related,Human GI tract
vaginal/rectal,Animal Associated,GI Tract Related,Human GI tract
colonoscopy,Animal Associated,GI Tract Related,Human GI tract
anal swab,Animal Associated,GI Tract Related,Human GI tract
rectal swab of patient hospitalized for an unrelated disease,Animal Associated,GI Tract Related,Human GI tract
rectal swab of 45 year old man with liver cirrhosis returning from russia,Animal Associated,GI Tract Related,Human GI tract
rectal swab from hiv infected patient,Animal Associated,GI Tract Related,Human GI tract
duodenal mucosa of celiac disease patient with type 1 diabetes,Animal Associated,GI Tract Related,Human GI tract
anus swab,Animal Associated,GI Tract Related,Human GI tract
rectal swab from college student,Animal Associated,GI Tract Related,Human GI tract
anal swabs,Animal Associated,GI Tract Related,Human GI tract
vibriosis episode,Animal Associated,GI Tract Related,Human GI tract
digestive tract,Animal Associated,GI Tract Related,Human GI tract
saliva,Animal Associated,GI Tract Related,Human saliva
